0,name,url,capacity,rpm,cache,interface,PRICE
0,WESTERN DIGITAL WD60EZAZ-RT [6TB SATA600 5400],https://kakaku.com/item/K0001133799/,6000.0,5400.0,256000.0,SerialATA600,10946
1,SEAGATE ST8000DM004 [8TB SATA600 5400],https://kakaku.com/item/K0001026180/,8000.0,5400.0,256000.0,SerialATA600,13965
2,WESTERN DIGITAL WD40EZRZ-RT2 [4TB SATA600 5400],https://kakaku.com/item/K0000927098/,4000.0,5400.0,64000.0,SerialATA600,8550
3,SEAGATE ST4000DM004 [4TB SATA600 5400],https://kakaku.com/item/K0000983050/,4000.0,5400.0,256000.0,SerialATA600,7558
4,WESTERN DIGITAL WD80EFAX [8TB SATA600 5400],https://kakaku.com/item/K0001058221/,8000.0,5400.0,256000.0,SerialATA600,25273
5,SEAGATE ST6000DM003 [6TB SATA600 5400],https://kakaku.com/item/K0001026181/,6000.0,5400.0,256000.0,SerialATA600,10599
6,東芝 DT01ACA200 [2TB SATA600 7200],https://kakaku.com/item/K0000406684/,2000.0,7200.0,64000.0,SerialATA600,5551
7,東芝 DT01ACA100 [1TB SATA600 7200],https://kakaku.com/item/K0000391558/,1000.0,7200.0,32000.0,SerialATA600,3938
8,WESTERN DIGITAL WD20EZAZ-RT [2TB SATA600 5400],https://kakaku.com/item/K0001098284/,2000.0,5400.0,256000.0,SerialATA600,6356
9,SEAGATE ST2000DM008 [2TB SATA600 7200],https://kakaku.com/item/K0001101158/,2000.0,7200.0,256000.0,SerialATA600,6497
10,東芝 MD05ACA800 [8TB SATA600 7200],https://kakaku.com/item/K0000964013/,8000.0,7200.0,128000.0,SerialATA600,18945
11,WESTERN DIGITAL WD20EFAX-RT [2TB SATA600 5400],https://kakaku.com/item/K0001150830/,2000.0,5400.0,256000.0,SerialATA600,9363
12,WESTERN DIGITAL WD40EFRX-RT2 [4TB SATA600 5400],https://kakaku.com/item/K0000927099/,4000.0,5400.0,64000.0,SerialATA600,15912
13,SEAGATE ST4000VN008 [4TB SATA600 5900],https://kakaku.com/item/K0000896131/,4000.0,5900.0,64000.0,SerialATA600,12078
14,WESTERN DIGITAL WD60EFAX-RT [6TB SATA600 5400],https://kakaku.com/item/K0001135667/,6000.0,5400.0,256000.0,SerialATA600,22380
16,WESTERN DIGITAL WD10EZEX [1TB SATA600 7200],https://kakaku.com/item/K0000385373/,1000.0,7200.0,64000.0,SerialATA600,5253
17,WESTERN DIGITAL WD30EFRX [3TB SATA600 5400],https://kakaku.com/item/K0000401036/,3000.0,5400.0,64000.0,SerialATA600,11480
18,WESTERN DIGITAL WD40PURZ [4TB SATA600 5400],https://kakaku.com/item/K0000966644/,4000.0,5400.0,64000.0,SerialATA600,11435
19,SEAGATE ST3000DM007 [3TB SATA600 5400],https://kakaku.com/item/K0001023197/,3000.0,5400.0,256000.0,SerialATA600,7150
20,WESTERN DIGITAL WD30EZRZ-RT [3TB SATA600 5400],https://kakaku.com/item/K0000820181/,3000.0,5400.0,64000.0,SerialATA600,7348
21,東芝 DT01ACA300 [3TB SATA600 7200],https://kakaku.com/item/K0000406683/,3000.0,7200.0,64000.0,SerialATA600,7141
22,SEAGATE ST1000DM010 [1TB SATA600 7200],https://kakaku.com/item/K0000919026/,1000.0,7200.0,64000.0,SerialATA600,4329
23,SEAGATE ST2000DM005 [2TB SATA600 5400],https://kakaku.com/item/K0001075415/,2000.0,5400.0,256000.0,SerialATA600,5855
24,WESTERN DIGITAL WD82PURZ [8TB SATA600 7200],https://kakaku.com/item/K0001160217/,8000.0,7200.0,256000.0,SerialATA600,24058
26,WESTERN DIGITAL WD20PURZ [2TB SATA600 5400],https://kakaku.com/item/K0000966642/,2000.0,5400.0,64000.0,SerialATA600,7186
27,WESTERN DIGITAL WD100EFAX [10TB SATA600 5400],https://kakaku.com/item/K0000972162/,10000.0,5400.0,256000.0,SerialATA600,35580
29,SEAGATE ST16000VN001 [16TB SATA600 7200],https://kakaku.com/item/K0001177767/,16000.0,7200.0,256000.0,SerialATA600,58980
30,WESTERN DIGITAL WD120EFAX [12TB SATA600 5400],https://kakaku.com/item/K0001163678/,12000.0,5400.0,256000.0,SerialATA600,44779
33,WESTERN DIGITAL WD30PURZ [3TB SATA600 5400],https://kakaku.com/item/K0000966643/,3000.0,5400.0,64000.0,SerialATA600,8954
34,東芝 DT01ACA050 [500GB SATA600 7200],https://kakaku.com/item/K0000391560/,500.0,7200.0,32000.0,SerialATA600,4036
35,SEAGATE ST500DM009 [500GB SATA600 7200],https://kakaku.com/item/K0000903571/,500.0,7200.0,32000.0,SerialATA600,4639
36,WESTERN DIGITAL WD6003FZBX [6TB SATA600 7200],https://kakaku.com/item/K0001035975/,6000.0,7200.0,256000.0,SerialATA600,26508
37,SEAGATE ST8000VN0022 [8TB SATA600 7200],https://kakaku.com/item/K0000896129/,8000.0,7200.0,256000.0,SerialATA600,22880
39,WESTERN DIGITAL WD10EFRX [1TB SATA600 5400],https://kakaku.com/item/K0000401034/,1000.0,5400.0,64000.0,SerialATA600,7867
40,SEAGATE ST8000VN004 [8TB SATA600 7200],https://kakaku.com/item/K0001174592/,8000.0,7200.0,256000.0,SerialATA600,24728
41,WESTERN DIGITAL WD10PURZ [1TB SATA600 5400],https://kakaku.com/item/K0000966641/,1000.0,5400.0,64000.0,SerialATA600,5777
42,SEAGATE ST2000VN004 [2TB SATA600 5900],https://kakaku.com/item/K0000896133/,2000.0,5900.0,64000.0,SerialATA600,8930
43,WESTERN DIGITAL WD60PURZ [6TB SATA600 5400],https://kakaku.com/item/K0000966645/,6000.0,5400.0,64000.0,SerialATA600,18977
44,SEAGATE ST14000VN0008 [14TB SATA600 7200],https://kakaku.com/item/K0001090643/,14000.0,7200.0,256000.0,SerialATA600,49879
46,WESTERN DIGITAL WD1003FZEX [1TB SATA600 7200],https://kakaku.com/item/K0000596579/,1000.0,7200.0,64000.0,SerialATA600,7933
47,SEAGATE ST3000VN007 [3TB SATA600 5900],https://kakaku.com/item/K0000896132/,3000.0,5900.0,64000.0,SerialATA600,10303
48,WESTERN DIGITAL WD2500AAKX [250GB SATA600 7200],https://kakaku.com/item/K0000315145/,250.0,7200.0,16000.0,0,2176
50,SEAGATE ST6000VN0033 [6TB SATA600 7200],https://kakaku.com/item/K0001026182/,6000.0,7200.0,256000.0,SerialATA600,18888
51,WESTERN DIGITAL WD4003FRYZ [4TB SATA600 7200],https://kakaku.com/item/K0001207347/,4000.0,7200.0,256000.0,SerialATA600,21500
53,WESTERN DIGITAL WD121KRYZ [12TB SATA600 7200],https://kakaku.com/item/K0000999796/,12000.0,7200.0,256000.0,SerialATA600,55480
54,WESTERN DIGITAL WD140EFFX [14TB SATA600 5400],https://kakaku.com/item/K0001215996/,14000.0,5400.0,512000.0,SerialATA600,62600
55,WESTERN DIGITAL WD3200AAJS (320G SATA300 7200),https://kakaku.com/item/05302515805/,320.0,7200.0,8000.0,SerialATA300,2800
56,WESTERN DIGITAL WD5000AAKX [500GB SATA600 7200],https://kakaku.com/item/K0000164534/,500.0,7200.0,16000.0,0,4277
58,WESTERN DIGITAL WD5000AZRZ-RT [500GB SATA600 5400],https://kakaku.com/item/K0000820665/,500.0,5400.0,64000.0,SerialATA600,5250
59,SEAGATE ST12000VN0008 [12TB SATA600 7200],https://kakaku.com/item/K0001167551/,12000.0,7200.0,256000.0,SerialATA600,39930
62,WESTERN DIGITAL HUS726T6TALE6L4 [6TB SATA600 7200],https://kakaku.com/item/K0001114936/,6000.0,7200.0,256000.0,SerialATA600,28200
63,SEAGATE ST1000VN002 [1TB SATA600 5900],https://kakaku.com/item/K0000896134/,1000.0,5900.0,64000.0,SerialATA600,6813
64,WESTERN DIGITAL WD2005FBYZ [2TB SATA600 7200],https://kakaku.com/item/K0000922235/,2000.0,7200.0,128000.0,SerialATA600,13750
65,SEAGATE ST10000VN0004 [10TB SATA600 7200],https://kakaku.com/item/K0000896128/,10000.0,7200.0,256000.0,SerialATA600,33006
66,WESTERN DIGITAL WD6400AAKS (640G SATA300 7200),https://kakaku.com/item/05302515863/,640.0,7200.0,16000.0,SerialATA300,3264
67,WESTERN DIGITAL WD1005FBYZ [1TB SATA600 7200],https://kakaku.com/item/K0000952001/,1000.0,7200.0,128000.0,SerialATA600,9880
68,WESTERN DIGITAL WD4005FZBX [4TB SATA600 7200],https://kakaku.com/item/K0001035976/,4000.0,7200.0,256000.0,SerialATA600,21610
70,WESTERN DIGITAL WD5000AZLX [500GB SATA600 7200],https://kakaku.com/item/K0000449787/,500.0,7200.0,32000.0,SerialATA600,4799
71,SEAGATE ST3160215ACE [160GB U100 7200],https://kakaku.com/item/K0000364318/,160.0,7200.0,2000.0,UltraATA100,5980
73,HGST HUS722T2TALA604 [2TB SATA600 7200],https://kakaku.com/item/K0001051522/,2000.0,7200.0,128000.0,SerialATA600,15239
74,WESTERN DIGITAL WUH721414ALE6L4 [14TB SATA600 7200],https://kakaku.com/item/K0001127995/,14000.0,7200.0,512000.0,SerialATA600,66578
75,SEAGATE ST2000DX002 [2TB SATA600 7200],https://kakaku.com/item/K0000913438/,2000.0,7200.0,64000.0,SerialATA600,10208
78,WESTERN DIGITAL WD60EFRX [6TB SATA600 5400],https://kakaku.com/item/K0000678035/,6000.0,5400.0,64000.0,SerialATA600,23980
79,WESTERN DIGITAL WD8004FRYZ [8TB SATA600 7200],https://kakaku.com/item/K0001207348/,8000.0,7200.0,256000.0,SerialATA600,38055
80,HGST HUH721212ALE600 [12TB SATA600 7200],https://kakaku.com/item/K0000996123/,12000.0,7200.0,256000.0,SerialATA600,54000
81,WESTERN DIGITAL HUS726T4TALA6L4 [4TB SATA600 7200],https://kakaku.com/item/K0001114935/,4000.0,7200.0,256000.0,SerialATA600,21349
82,WESTERN DIGITAL WD4003FFBX [4TB SATA600 7200],https://kakaku.com/item/K0001046063/,4000.0,7200.0,256000.0,SerialATA600,22880
83,WESTERN DIGITAL WD102PURZ [10TB SATA600 7200],https://kakaku.com/item/K0001221780/,10000.0,7200.0,256000.0,SerialATA600,31801
84,SEAGATE ST14000NE0008 [14TB SATA600 7200],https://kakaku.com/item/K0001090644/,14000.0,7200.0,256000.0,SerialATA600,50780
85,WESTERN DIGITAL WD141KRYZ [14TB SATA600 7200],https://kakaku.com/item/K0001207349/,14000.0,7200.0,512000.0,SerialATA600,70706
86,SEAGATE ST380215ACE [80GB U100 7200],https://kakaku.com/item/K0000364320/,80.0,7200.0,2000.0,UltraATA100,3950
88,WESTERN DIGITAL WD20EFRX [2TB SATA600 5400],https://kakaku.com/item/K0000401035/,2000.0,5400.0,64000.0,SerialATA600,9900
90,WESTERN DIGITAL WD2003FZEX [2TB SATA600 7200],https://kakaku.com/item/K0000596578/,2000.0,7200.0,64000.0,SerialATA600,14938
91,SEAGATE ST4000NE001 [4TB SATA600 7200],https://kakaku.com/item/K0001192619/,4000.0,7200.0,128000.0,SerialATA600,19980
92,SEAGATE ST6000DM004 [6TB SATA600 7200],https://kakaku.com/item/K0000930242/,6000.0,7200.0,256000.0,SerialATA600,20600
93,WESTERN DIGITAL WD6003FRYZ [6TB SATA600 7200],https://kakaku.com/item/K0001207346/,6000.0,7200.0,256000.0,SerialATA600,29778
94,HGST HUH721010ALE604 [10TB SATA600 7200],https://kakaku.com/item/K0000835204/,10000.0,7200.0,256000.0,SerialATA600,49000
98,SEAGATE ST10000VX0004 [10TB SATA600 7200],https://kakaku.com/item/K0000930253/,10000.0,7200.0,256000.0,SerialATA600,33580
99,HGST HUH721008ALE600 [8TB SATA600 7200],https://kakaku.com/item/K0000835197/,8000.0,7200.0,256000.0,SerialATA600,41200
101,WESTERN DIGITAL WD2002FFSX [2TB SATA600 7200],https://kakaku.com/item/K0000921987/,2000.0,7200.0,64000.0,SerialATA600,14441
102,WESTERN DIGITAL WD6003FFBX [6TB SATA600 7200],https://kakaku.com/item/K0001044791/,6000.0,7200.0,256000.0,SerialATA600,29480
103,SEAGATE ST10000VN0008 [10TB SATA600 7200],https://kakaku.com/item/K0001167552/,10000.0,7200.0,256000.0,SerialATA600,34800
104,WESTERN DIGITAL HUS728T8TALE6L4 [8TB SATA600 7200],https://kakaku.com/item/K0001114938/,8000.0,7200.0,256000.0,SerialATA600,38045
105,WESTERN DIGITAL WD101KFBX [10TB SATA600 7200],https://kakaku.com/item/K0000972161/,10000.0,7200.0,256000.0,SerialATA600,49700
106,SEAGATE ST10000NE0008 [10TB SATA600 7200],https://kakaku.com/item/K0001167553/,10000.0,7200.0,256000.0,SerialATA600,53000
107,WESTERN DIGITAL HUH721212ALE604 [12TB SATA600 7200],https://kakaku.com/item/K0001127994/,12000.0,7200.0,256000.0,SerialATA600,59675
108,WESTERN DIGITAL WD121KFBX [12TB SATA600 7200],https://kakaku.com/item/K0001163679/,12000.0,7200.0,256000.0,SerialATA600,63574
109,SEAGATE ST16000NE000 [16TB SATA600 7200],https://kakaku.com/item/K0001179848/,16000.0,7200.0,256000.0,SerialATA600,69739
111,SEAGATE ST1000DM003 [1TB SATA600 7200],https://kakaku.com/item/K0000313504/,1000.0,7200.0,64000.0,0,4846
113,WESTERN DIGITAL WD10EZRZ-RT [1TB SATA600 5400],https://kakaku.com/item/K0000820662/,1000.0,5400.0,64000.0,SerialATA600,5929
116,HGST HUS722T1TALA604 [1TB SATA600 7200],https://kakaku.com/item/K0000935362/,1000.0,7200.0,128000.0,SerialATA600,10361
117,SEAGATE ST2000NE0025 [2TB SATA600 7200],https://kakaku.com/item/K0000951728/,2000.0,7200.0,128000.0,SerialATA600,13033
119,WESTERN DIGITAL WD8003FFBX [8TB SATA600 7200],https://kakaku.com/item/K0001058220/,8000.0,7200.0,256000.0,SerialATA600,40499
120,SEAGATE ST10000DM0004 [10TB SATA600 7200],https://kakaku.com/item/K0000909153/,10000.0,7200.0,256000.0,SerialATA600,45244
121,WESTERN DIGITAL WD141KFGX [14TB SATA600 7200],https://kakaku.com/item/K0001220515/,14000.0,7200.0,512000.0,SerialATA600,72800
124,東芝 DT01ACA200BOX [2TB SATA 7200],https://kakaku.com/item/K0000438644/,2000.0,7200.0,64000.0,0,8860
125,東芝 DT01ABA200V [2TB SATA600 5700],https://kakaku.com/item/K0000406695/,2000.0,5700.0,32000.0,SerialATA600,8900
126,HGST HUS724020ALA640 [2TB SATA600 7200],https://kakaku.com/item/K0000506548/,2000.0,7200.0,64000.0,SerialATA600,9008
127,SEAGATE ST2000DL003 [2TB SATA600 5900],https://kakaku.com/item/K0000183490/,2000.0,5900.0,64000.0,0,9494
128,SEAGATE ST1000NM0008 [1TB SATA600 7200],https://kakaku.com/item/K0001035507/,1000.0,7200.0,128000.0,SerialATA600,9628
130,SEAGATE ST2000NM0008 [2TB SATA600 7200],https://kakaku.com/item/K0001035506/,2000.0,7200.0,128000.0,SerialATA600,13420
131,SEAGATE ST4000NM0035 [4TB SATA600 7200],https://kakaku.com/item/K0001051523/,4000.0,7200.0,128000.0,SerialATA600,23100
132,WESTERN DIGITAL WD6002FZWX [6TB SATA600 7200],https://kakaku.com/item/K0000940285/,6000.0,7200.0,128000.0,SerialATA600,32565
133,WESTERN DIGITAL WD101PURZ [10TB SATA600 7200],https://kakaku.com/item/K0001078043/,10000.0,7200.0,256000.0,SerialATA600,34580
134,SEAGATE ST10000NM0086 [10TB SATA600 7200],https://kakaku.com/item/K0001051525/,10000.0,7200.0,256000.0,SerialATA600,42569
135,WESTERN DIGITAL WD102KRYZ [10TB SATA600 7200],https://kakaku.com/item/K0001220516/,10000.0,7200.0,256000.0,SerialATA600,47495
136,HGST HUH721010ALE600 [10TB SATA600 7200],https://kakaku.com/item/K0000835196/,10000.0,7200.0,256000.0,SerialATA600,48900
138,SEAGATE ST3500418AS (500GB SATA300 7200),https://kakaku.com/item/K0000014805/,500.0,7200.0,16000.0,SerialATA300,4154
140,東芝 DT01ABA100V [1TB SATA600 5700],https://kakaku.com/item/K0000406697/,1000.0,5700.0,32000.0,SerialATA600,6480
142,WESTERN DIGITAL WD05PURZ [500GB SATA600 5400],https://kakaku.com/item/K0000966640/,500.0,5400.0,64000.0,SerialATA600,7185
143,SEAGATE ST31000528AS (1TB SATA300 7200),https://kakaku.com/item/K0000014807/,1000.0,7200.0,32000.0,SerialATA300,7319
144,WESTERN DIGITAL WD1001FALS (1TB SATA300 7200),https://kakaku.com/item/05302515903/,1000.0,7200.0,32000.0,SerialATA300,7417
150,東芝 DT01ABA300V [3TB SATA600 5940],https://kakaku.com/item/K0000406694/,3000.0,5940.0,32000.0,SerialATA600,9980
152,WESTERN DIGITAL WD2503ABYZ [250GB SATA600 7200],https://kakaku.com/item/K0000651713/,250.0,7200.0,64000.0,SerialATA600,10181
157,WESTERN DIGITAL WD40EFRX [4TB SATA600 5400],https://kakaku.com/item/K0000573468/,4000.0,5400.0,64000.0,SerialATA600,18655
158,WESTERN DIGITAL WD4002FYYZ [4TB SATA600 7200],https://kakaku.com/item/K0000872594/,4000.0,7200.0,128000.0,SerialATA600,19600
160,SEAGATE ST3000NM0005 [3TB SATA600 7200],https://kakaku.com/item/K0000956538/,3000.0,7200.0,128000.0,SerialATA600,23759
161,SEAGATE ST6000NE000 [6TB SATA600 7200],https://kakaku.com/item/K0001192618/,6000.0,7200.0,256000.0,SerialATA600,31479
